what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"gtk",1272361343668
locale,sysinfo,,,"es_ES",1272361343668
processors,sysinfo,,,"2",1272361343670
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1272361343670
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1272361343670
java.specification.name,sysinfo,,,"Java Platform API Specification",1272361343670
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272361343670
java.specification.version,sysinfo,,,"1.6",1272361343670
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272361343670
java.version,sysinfo,,,"1.6.0_0",1272361343670
java.vm.info,sysinfo,,,"mixed mode, sharing",1272361343670
java.vm.name,sysinfo,,,"OpenJDK Client VM",1272361343670
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272361343670
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272361343670
java.vm.specification.version,sysinfo,,,"1.0",1272361343670
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272361343670
java.vm.version,sysinfo,,,"14.0-b08",1272361343670
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1272361343700
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1272361343713
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1272361343750
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1272361343795
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361370562
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361382469
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361385161
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.help.aboutAction",1272361401373
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361401437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361402092
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361591586
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361592738
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361595024
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361595354
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361616398
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361617018
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361622169
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361624043
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361631486
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361632126
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361633710
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361634365
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361663508
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361664498
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272361739492
