what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1272440370429
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272440375773
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272440382513
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272440383110
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272440385694
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440386535
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440411997
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440413718
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440413824
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440416826
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440416873
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440424427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272440426603
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272440428271
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440429077
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440460177
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440462429
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272440464379
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1272440467758
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272440492070
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440493423
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440493515
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440496230
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440507399
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440508019
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440529231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1272440549889
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1272440551416
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272440553052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440554814
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440569290
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440569849
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440570543
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440631067
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440673349
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440687728
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440689400
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272440719326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440724772
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440731938
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440733610
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440734240
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272440738781
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440739669
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440754913
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440761358
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440854211
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440859370
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440860153
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272440865373
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440896242
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440896874
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440897934
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440905195
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440908479
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440912525
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440986017
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272440987203
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441079184
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441133636
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272441137171
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1272441137861
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272441140087
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272441142355
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1272441150957
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441155072
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441195851
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441211510
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441218858
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272441219142
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1272441220202
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272441222092
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272441224831
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1272441225763
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272441229897
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272441232259
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1272441233188
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272441234488
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272441238228
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.select.lineStart",1272441274116
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1272441274885
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272441277806
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272441279828
