what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1272449840600
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1272449840608
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1272449840615
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1272449840624
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1272449840639
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1272449840654
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1272449840691
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1272449840692
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1272449840705
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1272449840727
started,bundle,org.eclipse.ui.navigator,3.4.2.M20100120-0800,"org.eclipse.ui.navigator",1272449840737
started,bundle,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.resources",1272449840749
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1272449840750
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1272449840816
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1272449840825
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1272449840837
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1272449840864
os,sysinfo,,,"linux",1272449840876
arch,sysinfo,,,"x86",1272449840876
ws,sysinfo,,,"gtk",1272449840876
locale,sysinfo,,,"es_ES",1272449840876
processors,sysinfo,,,"2",1272449840876
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1272449840876
java.runtime.version,sysinfo,,,"1.6.0_0-b14",1272449840876
java.specification.name,sysinfo,,,"Java Platform API Specification",1272449840876
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272449840876
java.specification.version,sysinfo,,,"1.6",1272449840876
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1272449840876
java.version,sysinfo,,,"1.6.0_0",1272449840876
java.vm.info,sysinfo,,,"mixed mode, sharing",1272449840876
java.vm.name,sysinfo,,,"OpenJDK Client VM",1272449840876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1272449840876
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1272449840876
java.vm.specification.version,sysinfo,,,"1.0",1272449840876
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1272449840876
java.vm.version,sysinfo,,,"14.0-b08",1272449840876
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1272449840878
