what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272377841982
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1272377844949
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272377845243
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272377845567
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272377845809
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272377845942
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1272377848841
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377852538
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377853094
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377855658
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377856064
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272377858537
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Terminate",1272377859939
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272377860160
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272377860176
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272377860204
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272377860423
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272377865051
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272377866249
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377869208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377869741
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377870231
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272377895698
