what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381500731
started,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1272381546321
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.core",1272381546338
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272381552961
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381553207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381560025
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381564123
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381572329
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381572885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381573467
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381579743
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381580756
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381595472
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381601377
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381604521
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272381604757
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1272381608134
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272381608693
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272381609476
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272381609708
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272381609814
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Terminate",1272381613785
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272381614192
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272381614222
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272381614265
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272381614645
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381615906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381616388
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272381618406
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1272381618481
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272381620377
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272381623866
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272381628131
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272381630514
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272381638261
error,log,,,"The project description file (.project) for 'Template_arm9' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1272381641615
error,log,,,"Problems occurred opening the selected resources.",1272381641619
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381642086
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1272381645351
opened,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1272381645604
activated,view,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.pde.runtime.LogView",1272381645661
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381645878
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272381664054
