what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272364639255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364645785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364663751
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272364665124
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364667579
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272364685095
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364685173
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272364688052
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1272364696521
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272364705245
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1272364705656
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364707795
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364721115
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272364722495
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364724442
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272364754699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364754789
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272364758774
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364779292
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364784088
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272364786123
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272364786371
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272364794694
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364796895
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272364809952
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364810036
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364810796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364811361
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364811808
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364859321
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272364864783
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364874414
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1272364878292
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364878355
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272364882466
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364888248
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364908016
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364911124
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364917950
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364922231
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272364992247
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272364992330
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1272365020268
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365029453
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272365043134
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365043226
opened,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.TaskList",1272365047535
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.TaskList",1272365047558
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1272365048096
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272365049392
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365057307
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1272365061592
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272365061593
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365061694
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365090919
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1272365092463
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272365092463
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365092560
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365097701
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1272365099625
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365099688
activated,view,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.views.ProblemView",1272365104234
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272365114135
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1272365127316
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272365129885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365138877
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1272365148404
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365148477
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365152837
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272365157802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1272365166356
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1272365175308
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildProject",1272365178783
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272365181662
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272365184732
