what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272387422108
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387424558
activated,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1272387430365
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387431775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387432665
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387454620
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387455839
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387456879
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387457294
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387464098
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272387466720
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387466849
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1272387467861
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.redo",1272387470790
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272387472182
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387472822
closed,editor,org.eclipse.cdt.make.ui,6.0.1.201002161416,"org.eclipse.cdt.make.editor",1272387472823
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272387472875
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272387474707
closed,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387474707
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.close",1272387474774
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387480679
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387529119
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387535536
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387535708
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387543261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387563269
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387567141
started,bundle,org.eclipse.mylyn.wikitext.ui,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1272387594236
started,bundle,org.eclipse.mylyn.wikitext.core,1.1.3.v20100217-0100-e3x,"org.eclipse.mylyn.wikitext.core",1272387594326
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387755567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387782237
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387782715
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272387786398
opened,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387786645
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387786797
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272387844866
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272387861528
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272387863176
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387865228
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387865601
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAutomatically",1272387870768
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387883367
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387913049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387916007
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387948329
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272387960502
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272387972448
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272387975494
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272387993885
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1272387996023
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387996077
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272387998408
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1272388001257
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272388001705
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272388001821
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272388001954
