what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272402608688
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402613195
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402614022
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272402617827
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272402617839
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272402617849
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272402617957
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402619211
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402619657
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272402621355
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402622164
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402624430
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1272402629281
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402629474
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272402629558
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272402629639
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272402629686
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272402629819
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272402630089
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272402630417
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402633109
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1272402635633
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402635883
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272402636031
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272402636203
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402640775
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402642208
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402642737
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1272402645664
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1272402645673
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1272402645690
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272402645808
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1272402646442
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402646558
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402648063
error,log,,,"Target selection failed.",1272402652975
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402653237
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272402653449
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402653649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402655066
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402656549
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402661355
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402661795
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272402664051
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402666333
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272402669096
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402672602
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402672907
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402674910
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402675792
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402675937
error,log,,,"Error logged from Debug Core: ",1272402677061
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.debug.core"".",1272402677087
error,log,,,"An exception occurred during launch change notification.",1272402677088
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.debug.core"".",1272402677095
error,log,,,"An exception occurred during launch change notification.",1272402677095
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402677745
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402679807
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402681820
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402684355
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402687285
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402687814
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402689494
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1272402689685
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272402689764
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402695987
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272402697463
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272402697475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402702411
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1272402702545
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402702634
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1272402702736
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402704363
activated,perspective,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.CPerspective",1272402705623
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1272402705628
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402710043
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402718179
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402718959
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402719768
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272402721170
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402725972
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402728934
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1272402731267
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272402777518
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272402796790
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineEnd",1272402800512
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402802492
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402808083
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402810090
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402810250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402810400
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402810551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1272402810852
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1272402811340
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1272402814488
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402815292
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402818354
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402829182
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1272402861667
